timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T17:40:02.326101,,,,127.0.0.1,127.0.0.1,34604,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.326113,,,,127.0.0.1,127.0.0.1,5037,34604,0x00000014,,,,,,,
2026-02-10T17:40:02.327804,,,,127.0.0.1,127.0.0.1,34606,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.327815,,,,127.0.0.1,127.0.0.1,5037,34606,0x00000014,,,,,,,
2026-02-10T17:40:02.329201,,,,127.0.0.1,127.0.0.1,34608,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.329205,,,,127.0.0.1,127.0.0.1,5037,34608,0x00000014,,,,,,,
2026-02-10T17:40:02.330719,,,,127.0.0.1,127.0.0.1,34610,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.330867,,,,127.0.0.1,127.0.0.1,5037,34610,0x00000014,,,,,,,
2026-02-10T17:40:02.332153,,,,127.0.0.1,127.0.0.1,34612,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.332164,,,,127.0.0.1,127.0.0.1,5037,34612,0x00000014,,,,,,,
2026-02-10T17:40:02.333663,,,,127.0.0.1,127.0.0.1,34614,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.333679,,,,127.0.0.1,127.0.0.1,5037,34614,0x00000014,,,,,,,
2026-02-10T17:40:02.334858,,,,127.0.0.1,127.0.0.1,34616,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.334866,,,,127.0.0.1,127.0.0.1,5037,34616,0x00000014,,,,,,,
2026-02-10T17:40:02.336010,,,,127.0.0.1,127.0.0.1,34618,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.336017,,,,127.0.0.1,127.0.0.1,5037,34618,0x00000014,,,,,,,
2026-02-10T17:40:02.337495,,,,127.0.0.1,127.0.0.1,34620,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.337503,,,,127.0.0.1,127.0.0.1,5037,34620,0x00000014,,,,,,,
2026-02-10T17:40:02.338606,,,,127.0.0.1,127.0.0.1,34622,5037,0x00000002,,,,,,,
2026-02-10T17:40:02.338613,,,,127.0.0.1,127.0.0.1,5037,34622,0x00000014,,,,,,,
2026-02-10T17:40:02.934325,,,,,,,,,,,,,,,
2026-02-10T17:40:02.934341,,,,,,,,,,,,,,,
2026-02-10T17:40:03.030590,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:40:03.030719,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:40:03.082576,,,,192.168.0.167,192.168.0.1,,,,56724,53,,,,,
2026-02-10T17:40:03.097245,,,,192.168.0.1,192.168.0.167,,,,53,56724,,,,,
2026-02-10T17:40:11.410542,,,,192.168.0.167,192.178.56.133,35200,443,0x00000010,,,,,,,
2026-02-10T17:40:11.423457,,,,192.178.56.133,192.168.0.167,443,35200,0x00000010,,,,,,,
2026-02-10T17:40:13.155044,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:40:13.155145,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:40:13.942068,,,,,,,,,,,,,,,
2026-02-10T17:40:14.206206,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:40:14.223072,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:40:18.929985,,,,192.168.0.167,192.168.0.1,,,,62457,53,,,,,
