timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T15:10:02.070504,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:10:02.070678,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:10:02.090831,,,,127.0.0.1,127.0.0.1,38108,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.090841,,,,127.0.0.1,127.0.0.1,5037,38108,0x00000014,,,,,,,
2026-02-10T15:10:02.091940,,,,127.0.0.1,127.0.0.1,38110,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.091944,,,,127.0.0.1,127.0.0.1,5037,38110,0x00000014,,,,,,,
2026-02-10T15:10:02.093712,,,,127.0.0.1,127.0.0.1,38112,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.093726,,,,127.0.0.1,127.0.0.1,5037,38112,0x00000014,,,,,,,
2026-02-10T15:10:02.094953,,,,127.0.0.1,127.0.0.1,38114,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.094957,,,,127.0.0.1,127.0.0.1,5037,38114,0x00000014,,,,,,,
2026-02-10T15:10:02.096184,,,,127.0.0.1,127.0.0.1,38116,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.096192,,,,127.0.0.1,127.0.0.1,5037,38116,0x00000014,,,,,,,
2026-02-10T15:10:02.097391,,,,127.0.0.1,127.0.0.1,38118,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.097395,,,,127.0.0.1,127.0.0.1,5037,38118,0x00000014,,,,,,,
2026-02-10T15:10:02.098764,,,,127.0.0.1,127.0.0.1,38120,5037,0x00000002,,,,,,,
2026-02-10T15:10:02.098769,,,,127.0.0.1,127.0.0.1,5037,38120,0x00000014,,,,,,,
